Year DOY  Hr Min  Btot   Bx       By     Bz      V       n
2017 246  0  0    2.97   -2.53    1.41   -0.46   540.9   3.59
2017 246  0  5    2.87   -1.49    1.41   -0.91   541.2   3.61
2017 246  0 10    3.86   -2.98    1.66    1.10   537.6   3.42
2017 246  0 15    4.00   -3.20    2.19    0.92   533.0   3.34
2017 246  0 20    4.13   -3.45    2.18    0.54 99999.9 999.99
2017 246  0 25    4.27   -3.85    1.79    0.41   531.4   3.54
2017 246  0 30    4.31   -3.86    1.80   -0.24   530.8   3.38
2017 246  0 35    4.01   -3.40    1.83   -0.90   533.3   3.29
2017 246  0 40    4.00   -3.21    2.10   -0.75   533.3   3.30
2017 246  0 45    3.92   -1.04    3.16   -1.97   532.3   3.39
2017 246  0 50    3.73   -0.88    2.85   -2.18   531.6   3.45
2017 246  0 55    3.74    0.67    2.67   -2.50   540.7   3.60
2017 246  1  0    3.82    0.12    2.90   -1.81   535.7   3.40
2017 246  1  5    4.28    0.90    3.08   -1.20   538.7   3.02
2017 246  1 10    4.41    2.09    2.84   -1.04   540.5   3.15
2017 246  1 15    4.37    3.64    1.96   -1.27   548.5   3.20
2017 246  1 20    4.00    0.14    0.46   -0.14   539.2   3.11
2017 246  1 25    4.46   -3.72   -1.28    0.40   533.8   2.95
2017 246  1 30    4.50   -4.14   -1.68    0.34   532.1   2.86
2017 246  1 35    4.61   -4.35   -1.03    0.73   532.1   2.94
2017 246  1 40    4.49   -4.27   -0.91    0.96   530.4   2.98
2017 246  1 45    4.43   -4.29   -0.84    0.66   529.5   3.01
2017 246  1 50    4.45   -4.38   -0.47    0.56   528.2   3.07
2017 246  1 55    4.40   -4.29   -0.41    0.77   528.2   2.98
2017 246  2  0    4.28   -4.17    0.20    0.89   529.4   3.06
2017 246  2  5    3.96   -3.85   -0.02    0.72   533.4   3.31
2017 246  2 10    3.70   -3.62   -0.43    0.37   535.0   3.35
2017 246  2 15    3.65   -3.55   -0.45    0.35   536.4   3.51
2017 246  2 20    3.84   -3.80   -0.31    0.02   533.2   3.37
2017 246  2 25    3.75   -3.67   -0.42    0.07   535.7   3.37
2017 246  2 30    3.67   -3.62   -0.06   -0.40   536.0   3.31
2017 246  2 35    3.79   -3.68    0.31   -0.49   536.2   3.24
2017 246  2 40    3.86   -3.71   -0.64   -0.68   532.9   3.28
2017 246  2 45    3.61   -3.55    0.06   -0.34   534.8   3.43
2017 246  2 50    3.37   -3.31    0.01   -0.02   536.6   3.42
2017 246  2 55    3.41   -3.17    0.63   -0.40   538.2   3.33
2017 246  3  0    3.13   -2.01    1.25   -0.65   539.1   3.48
2017 246  3  5    3.27   -2.99    0.47    0.20   539.7   3.23
2017 246  3 10    4.14   -0.72    3.58   -0.60   545.5   3.40
2017 246  3 15    3.77   -3.01   -0.89    1.24   537.7   3.28
2017 246  3 20    4.05   -3.89    0.01    0.78   529.4   3.46
2017 246  3 25    3.79   -3.67   -0.63    0.54   529.4   3.43
2017 246  3 30    4.84   -4.73    0.04    0.88   529.7   3.28
2017 246  3 35    5.61   -5.52   -0.23    0.21   532.1   3.05
2017 246  3 40    5.83   -5.80   -0.49   -0.10   530.3   2.77
2017 246  3 45    5.76   -5.73   -0.43   -0.37   527.7   2.78
2017 246  3 50    5.72   -5.67   -0.36    0.58   527.5   2.65
2017 246  3 55    5.21   -5.15    0.04    0.76 99999.9 999.99
2017 246  4  0    4.73   -4.54   -0.02    0.72   513.8   2.82
2017 246  4  5    3.68   -2.37    1.85    1.01   518.6   2.85
2017 246  4 10    3.99   -2.87    2.03    1.17   518.9   3.02
2017 246  4 15    3.95   -3.38    1.27    0.47   509.3   3.15
2017 246  4 20    4.10   -3.62    0.50    0.92   506.9   3.00
2017 246  4 25    4.19   -3.50    0.29    1.59   509.3   2.96
2017 246  4 30    4.37   -3.94   -1.17    0.08   512.4   2.93
2017 246  4 35    4.55   -3.99   -2.12   -0.48   516.8   2.87
2017 246  4 40    4.52   -3.90   -2.23   -0.53   518.0   2.91
2017 246  4 45    4.14   -3.45   -2.21   -0.50   513.8   2.93
2017 246  4 50    4.15   -3.52   -2.15   -0.42   512.4   2.91
2017 246  4 55    4.19   -3.54   -2.22   -0.24   513.4   3.04
2017 246  5  0    4.55   -3.78   -2.50   -0.23   519.3   2.85
2017 246  5  5    4.42   -3.59   -2.51    0.25   518.5   2.80
2017 246  5 10    4.33   -3.69   -2.13    0.56   515.2   2.79
2017 246  5 15    4.17   -3.69   -1.74    0.80   519.7   2.80
2017 246  5 20    3.78   -3.33   -1.54    0.34   514.3   2.72
2017 246  5 25    3.93   -3.39   -1.67   -0.61   519.6   3.02
2017 246  5 30    3.99   -3.33   -1.87    0.30   515.0   2.76
2017 246  5 35    3.70   -3.41   -1.36    0.12   514.0   2.62
2017 246  5 40    3.72   -3.40   -1.44    0.36   514.3   2.59
2017 246  5 45    3.77   -3.49   -1.24    0.72   513.5   2.44
2017 246  5 50    3.80   -3.51   -1.32    0.59   512.2   2.52
2017 246  5 55    3.83   -3.57   -1.04    0.05   510.4   2.61
2017 246  6  0    3.76   -3.58   -0.80   -0.36   511.4   2.80
2017 246  6  5    3.89   -3.78   -0.66    0.24   510.1   2.73
2017 246  6 10    3.84   -3.70   -0.92    0.16   510.5   2.69
2017 246  6 15    3.86   -3.68   -1.02    0.37   509.0   2.79
2017 246  6 20    3.81   -3.62   -1.03    0.51   509.6   2.71
2017 246  6 25    3.81   -3.63   -1.01    0.40   508.3   2.77
2017 246  6 30    3.76   -3.26   -1.70    0.66   512.0   2.74
2017 246  6 35    3.67   -3.24   -1.49    0.81   508.5   2.65
2017 246  6 40    3.58   -3.20   -1.05    1.12   507.4   2.63
2017 246  6 45    3.64   -3.44   -0.76    0.86   505.9   2.65
2017 246  6 50    3.61   -3.55   -0.48    0.36   506.5   2.71
2017 246  6 55    3.73   -3.38   -1.12    0.13   507.3   2.86
2017 246  7  0    3.60   -3.08   -1.42   -0.19   502.5   2.77
2017 246  7  5    3.62   -3.47   -0.50    0.50   503.2   2.84
2017 246  7 10    3.67   -3.46    0.54    0.93   504.0   2.76
2017 246  7 15    3.78   -3.16   -0.31    1.92   507.8   2.56
2017 246  7 20    3.57   -3.06   -0.67    1.67   506.8   2.61
2017 246  7 25    3.52   -3.02   -1.40    0.93   504.8   2.62
2017 246  7 30    3.43   -2.35   -0.16    2.43   509.6   2.40
2017 246  7 35    3.42   -2.47    0.27    2.31   510.3   2.42
2017 246  7 40    3.43   -2.56   -0.25    2.18   510.2   2.32
2017 246  7 45    3.51   -2.79   -0.86    1.73   508.0   2.49
2017 246  7 50    3.74   -2.47   -2.18    1.56   515.1   2.49
2017 246  7 55    3.71   -2.90   -0.70    1.45   510.3   2.58
2017 246  8  0    3.59   -2.32    2.19    1.15   512.6   2.70
2017 246  8  5    3.69   -1.26    3.05    1.53 99999.9 999.99
